id,match_id,match_full_time,extra_full_time,player_id,back_number,player_name,player_last_name,team_id,team_name,event_time,event_period,is_side_changed,event_types,filtered_event_types,x,y,relative_player_id,relative_player_name,relative_player_last_name,relative_x,relative_y
32126795,25199,5400000,0,175823,11,James Philip,Milner,9829,FC Hercules,176837,FIRST_HALF,True,passReceived,passReceived,0.118135,0.858875,,,,,
32127397,25199,5400000,0,175807,23,Patrick,Möschl,9828,FC Cerberus,177752,FIRST_HALF,True,foulConceded,foulConceded,0.836682,0.0696003,,,,,
32126796,25199,5400000,0,175823,11,James Philip,Milner,9829,FC Hercules,178098,FIRST_HALF,True,foulCommitted,foulCommitted,0.180576,0.951157,,,,,
32126797,25199,5400000,0,175818,7,Dominic,Ball,9829,FC Hercules,236791,FIRST_HALF,True,attackRouteStart freeKick passSucceeded passSucceededFrom16 passSucceededTo16 passSucceededFrom16To16 backwardPassSucceeded shortPassSucceeded passSucceededFrom16 passSucceededTo16 passSucceededFrom16To16 backwardPassSucceeded shortPassSucceeded,freeKick,0.189989,0.942608,175819,Magnus,Blakstad,0.201511,0.928801
32126798,25199,5400000,0,175819,9,Magnus,Blakstad,9829,FC Hercules,237469,FIRST_HALF,True,passSucceeded keyPass passSucceededFrom16 passSucceededTo16 passSucceededFrom16To16 forwardPassSucceeded shortPassSucceeded keyPassFrom4To4 passReceived passSucceededFrom16 passSucceededTo16 passSucceededFrom16To16 forwardPassSucceeded shortPassSucceeded keyPassFrom4To4,passSucceeded passReceived,0.201511,0.928801,175818,Dominic,Ball,0.196725,0.936612
32126799,25199,5400000,0,175818,7,Dominic,Ball,9829,FC Hercules,237469,FIRST_HALF,True,shotBlocked footRight attackRouteEnd shotBlockedOutOfPenaltyArea passReceived shotBlockedOutOfPenaltyArea,shotBlocked footRight passReceived,0.196725,0.936612,,,,,
32127398,25199,5400000,0,175808,14,Kerem,Demirbay,9828,FC Cerberus,238200,FIRST_HALF,True,block,block,0.598874,0.0411789,,,,,
32127399,25199,5400000,0,175809,10,Pierre Kunde,Malong,9828,FC Cerberus,240628,FIRST_HALF,True,aerialDuelSucceeded clearance,aerialDuelSucceeded clearance,0.411993,0.129906,,,,,
32126800,25199,5400000,0,175826,19,Richie,Loughty,9829,FC Hercules,240693,FIRST_HALF,True,aerialDuelFailed,aerialDuelFailed,0.586848,0.865612,,,,,
32126801,25199,5400000,0,175821,20,Douglas Arthur,Silbeira Martins,9829,FC Hercules,244884,FIRST_HALF,True,possession,possession,0.957303,0.748691,,,,,
